"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Abhayapuri North,34,GEN,Bongaigaon,Abdul Batin Khandakar,Indian National Congress,167980,158192,94.2 %,32781,20.7%
Abhayapuri North,34,GEN,Bongaigaon,Abdul Batin Khandakar,Indian National Congress,167980,158192,94.2 %,32781,20.7%
Abhayapuri South,35,SC,Bongaigaon,Pradip Sarkar,Indian National Congress,194375,183417,94.4 %,47085,25.7%
Abhayapuri South,35,SC,Bongaigaon,Pradip Sarkar,Indian National Congress,194375,183417,94.4 %,47085,25.7%
Algapur,8,GEN,Hailakandi,Nijam Uddin Choudhury,All India United Democratic Front,152366,134584,88.3 %,17604,13.1%
Algapur,8,GEN,Hailakandi,Nijam Uddin Choudhury,All India United Democratic Front,152366,134584,88.3 %,17604,13.1%
Amguri,103,GEN,Sibsagar,Prodip Hazarika,Asom Gana Parisad,120702,102571,85.0 %,6179,6.0%
Amguri,103,GEN,Sibsagar,Prodip Hazarika,Asom Gana Parisad,120702,102571,85.0 %,6179,6.0%
Badarpur,5,GEN,Karimganj,Abdul Aziz,All India United Democratic Front,154384,129786,84.1 %,23948,18.5%
Badarpur,5,GEN,Karimganj,Abdul Aziz,All India United Democratic Front,154384,129786,84.1 %,23948,18.5%
Baghbar,45,GEN,Barpeta,Sherman Ali Ahmed,Indian National Congress,154996,150536,97.1 %,13942,9.3%
Baghbar,45,GEN,Barpeta,Sherman Ali Ahmed,Indian National Congress,154996,150536,97.1 %,13942,9.3%
Baithalangso,20,ST,Karbi Anglong,Rupsing Teron,Bharatiya Janta Party,200588,161030,80.3 %,53437,33.2%
Baithalangso,20,ST,Karbi Anglong,Rupsing Teron,Bharatiya Janta Party,200588,161030,80.3 %,53437,33.2%
Barama,62,ST,Nalbari,Bhupen Baro,United Peoples Party Liberal,162162,131255,80.9 %,23772,18.1%
Barama,62,ST,Nalbari,Bhupen Baro,United Peoples Party Liberal,162162,131255,80.9 %,23772,18.1%
Barhampur,87,GEN,Nagaon,Jitu Goswami,Bharatiya Janta Party,174367,142666,81.8 %,751,0.5%
Barhampur,87,GEN,Nagaon,Jitu Goswami,Bharatiya Janta Party,174367,142666,81.8 %,751,0.5%
Barkhetri,60,GEN,Nalbari,Diganta Barman,Indian National Congress,184516,172578,93.5 %,4054,2.3%
Barkhetri,60,GEN,Nalbari,Diganta Barman,Indian National Congress,184516,172578,93.5 %,4054,2.3%
Barkhola,14,GEN,Cachar,Misbahul Islam Laskar,Indian National Congress,142993,123349,86.3 %,7031,5.7%
Barkhola,14,GEN,Cachar,Misbahul Islam Laskar,Indian National Congress,142993,123349,86.3 %,7031,5.7%
Barpeta,43,GEN,Barpeta,Abdur Rahim Ahmed,Indian National Congress,197165,180265,91.4 %,44719,24.8%
