"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Alipurduars,12,GEN,Jalpaiguri,Suman Kanjilal,Bharatiya Janta Party,249955,220751,88.3 %,16007,7.3%
Alipurduars,12,GEN,Jalpaiguri,Suman Kanjilal,Bharatiya Janta Party,249955,220751,88.3 %,16007,7.3%
Amdanga,102,GEN,North Twenty Four Parganas,Rafiqur Rahaman,All India Trinamool Congress,230559,209418,90.8 %,25480,12.2%
Amdanga,102,GEN,North Twenty Four Parganas,Rafiqur Rahaman,All India Trinamool Congress,230559,209418,90.8 %,25480,12.2%
Amta,181,GEN,Haora,Sukanta Kumar Paul,All India Trinamool Congress,252347,207508,82.2 %,26205,12.6%
Amta,181,GEN,Haora,Sukanta Kumar Paul,All India Trinamool Congress,252347,207508,82.2 %,26205,12.6%
Arambag,200,SC,Hugli,Madhusudan Bag,Bharatiya Janta Party,246935,216789,87.8 %,7172,3.3%
Arambag,200,SC,Hugli,Madhusudan Bag,Bharatiya Janta Party,246935,216789,87.8 %,7172,3.3%
Asnsol Dakshin,280,GEN,Barddhaman,Agnimitra Paul,Bharatiya Janta Party,258427,191271,74.0 %,4487,2.3%
Asnsol Dakshin,280,GEN,Barddhaman,Agnimitra Paul,Bharatiya Janta Party,258427,191271,74.0 %,4487,2.3%
Asansol Uttar,281,GEN,Barddhaman,Ghatak Moloy,All India Trinamool Congress,256239,189559,74.0 %,21110,11.1%
Asansol Uttar,281,GEN,Barddhaman,Ghatak Moloy,All India Trinamool Congress,256239,189559,74.0 %,21110,11.1%
Ashoknagar,101,GEN,North Twenty Four Parganas,Narayan Goswami,All India Trinamool Congress,241158,215113,89.2 %,23532,10.9%
Ashoknagar,101,GEN,North Twenty Four Parganas,Narayan Goswami,All India Trinamool Congress,241158,215113,89.2 %,23532,10.9%
Ausgram,273,SC,Barddhaman,Abhedananda Thander,All India Trinamool Congress,236269,213041,90.2 %,11815,5.5%
Ausgram,273,SC,Barddhaman,Abhedananda Thander,All India Trinamool Congress,236269,213041,90.2 %,11815,5.5%
Baduria,99,GEN,North Twenty Four Parganas,Abdur Rahim Quazi,All India Trinamool Congress,235541,210930,89.6 %,56444,26.8%
Baduria,99,GEN,North Twenty Four Parganas,Abdur Rahim Quazi,All India Trinamool Congress,235541,210930,89.6 %,56444,26.8%
Bagda,94,SC,North Twenty Four Parganas,Biswajit Das,Bharatiya Janta Party,268567,217771,81.1 %,9792,4.5%
Bagda,94,SC,North Twenty Four Parganas,Biswajit Das,Bharatiya Janta Party,268567,217771,81.1 %,9792,4.5%
Baghmundi,240,GEN,Puruliya,Sushanta Mahato,All India Trinamool Congress,237261,203917,85.9 %,13969,6.9%
Baghmundi,240,GEN,Puruliya,Sushanta Mahato,All India Trinamool Congress,237261,203917,85.9 %,13969,6.9%
Bagnan,180,GEN,Haora,Arunava Sen (Raja),All India Trinamool Congress,222777,198387,89.1 %,30120,15.2%
Bagnan,180,GEN,Haora,Arunava Sen (Raja),All India Trinamool Congress,222777,198387,89.1 %,30120,15.2%
Baharampur,72,GEN,Murshidabad,Subrata Maitra (Kanchan),Bharatiya Janta Party,250719,195082,77.8 %,26852,13.8%
Baharampur,72,GEN,Murshidabad,Subrata Maitra (Kanchan),Bharatiya Janta Party,250719,195082,77.8 %,26852,13.8%
Baisnabnagar,54,GEN,Maldah,Chandana Sarkar,All India Trinamool Congress,231377,206947,89.4 %,2471,1.2%
Baisnabnagar,54,GEN,Maldah,Chandana Sarkar,All India Trinamool Congress,231377,206947,89.4 %,2471,1.2%
Balagarh,191,SC,Hugli,Manoranjan Bapari,All India Trinamool Congress,249657,216852,86.9 %,5784,2.7%
Balagarh,191,SC,Hugli,Manoranjan Bapari,All India Trinamool Congress,249657,216852,86.9 %,5784,2.7%
Balarampur,239,GEN,Puruliya,Baneswar Mahato,Bharatiya Janta Party,224417,195524,87.1 %,423,0.2%
Balarampur,239,GEN,Puruliya,Baneswar Mahato,Bharatiya Janta Party,224417,195524,87.1 %,423,0.2%
Bally,169,GEN,Haora,Rana Chatterjee,All India Trinamool Congress,166102,124667,75.1 %,6237,5.0%
Bally,169,GEN,Haora,Rana Chatterjee,All India Trinamool Congress,166102,124667,75.1 %,6237,5.0%
Ballygunge,161,GEN,Kolkata,Subrata Mukherjee,All India Trinamool Congress,240660,149645,62.2 %,75359,50.4%
Ballygunge,161,GEN,Kolkata,Subrata Mukherjee,All India Trinamool Congress,240660,149645,62.2 %,75359,50.4%
Balurghat,39,GEN,Dakshin Dinajpur,Ashok Kumar Lahiri,Bharatiya Janta Party,172383,150262,87.2 %,13436,8.9%
Balurghat,39,GEN,Dakshin Dinajpur,Ashok Kumar Lahiri,Bharatiya Janta Party,172383,150262,87.2 %,13436,8.9%
Bandwan,238,ST,Puruliya,Rajib Lochan Saren,All India Trinamool Congress,272796,238101,87.3 %,18831,7.9%
Bandwan,238,ST,Puruliya,Rajib Lochan Saren,All India Trinamool Congress,272796,238101,87.3 %,18831,7.9%
Bangaon Dakshin,96,SC,North Twenty Four Parganas,Swapan Majumder,Bharatiya Janta Party,237404,206292,86.9 %,2004,1.0%
Bangaon Dakshin,96,SC,North Twenty Four Parganas,Swapan Majumder,Bharatiya Janta Party,237404,206292,86.9 %,2004,1.0%
Bangaon Uttar,95,SC,North Twenty Four Parganas,Ashok Kirtania,Bharatiya Janta Party,242067,203342,84.0 %,10488,5.2%
Bangaon Uttar,95,SC,North Twenty Four Parganas,Ashok Kirtania,Bharatiya Janta Party,242067,203342,84.0 %,10488,5.2%
Bankura,252,GEN,Bankura,Niladri Sekhar Dana,Bharatiya Janta Party,257361,213479,82.9 %,1468,0.7%
Bankura,252,GEN,Bankura,Niladri Sekhar Dana,Bharatiya Janta Party,257361,213479,82.9 %,1468,0.7%
Barabani,283,GEN,Barddhaman,Bidhan Upadhyay,All India Trinamool Congress,215163,166168,77.2 %,23457,14.1%
Barabani,283,GEN,Barddhaman,Bidhan Upadhyay,All India Trinamool Congress,215163,166168,77.2 %,23457,14.1%
Baranagar,113,GEN,North Twenty Four Parganas,Tapas Roy,All India Trinamool Congress,208535,157881,75.7 %,35147,22.3%
Baranagar,113,GEN,North Twenty Four Parganas,Tapas Roy,All India Trinamool Congress,208535,157881,75.7 %,35147,22.3%
Barasat,119,GEN,North Twenty Four Parganas,Chiranjeet Chakrabarti,All India Trinamool Congress,263410,223019,84.7 %,23783,10.7%
Barasat,119,GEN,North Twenty Four Parganas,Chiranjeet Chakrabarti,All India Trinamool Congress,263410,223019,84.7 %,23783,10.7%
Burdwan Dakshin,260,GEN,Barddhaman,Khokan Das,All India Trinamool Congress,248721,201638,81.1 %,8105,4.0%
Burdwan Dakshin,260,GEN,Barddhaman,Khokan Das,All India Trinamool Congress,248721,201638,81.1 %,8105,4.0%
Burdwan Uttar,266,SC,Barddhaman,Nisith Kumar Malik,All India Trinamool Congress,262125,239529,91.4 %,17268,7.2%
Burdwan Uttar,266,SC,Barddhaman,Nisith Kumar Malik,All India Trinamool Congress,262125,239529,91.4 %,17268,7.2%
Barjora,253,GEN,Bankura,Alok Mukherjee,All India Trinamool Congress,243336,214549,88.2 %,3269,1.5%
Barjora,253,GEN,Bankura,Alok Mukherjee,All India Trinamool Congress,243336,214549,88.2 %,3269,1.5%
Barrackpur,108,GEN,North Twenty Four Parganas,Raju Chakraborty (RAJ),All India Trinamool Congress,207919,146319,70.4 %,9222,6.3%
Barrackpur,108,GEN,North Twenty Four Parganas,Raju Chakraborty (RAJ),All India Trinamool Congress,207919,146319,70.4 %,9222,6.3%
Baruipur Paschim,140,GEN,South  Twenty Four Parganas,Biman Banerjee,All India Trinamool Congress,232885,209757,90.1 %,61910,29.5%
Baruipur Paschim,140,GEN,South  Twenty Four Parganas,Biman Banerjee,All India Trinamool Congress,232885,209757,90.1 %,61910,29.5%
Baruipur Purba,137,SC,South  Twenty Four Parganas,Bivas Sardar (VOBO),All India Trinamool Congress,245546,223259,90.9 %,49641,22.2%
Baruipur Purba,137,SC,South  Twenty Four Parganas,Bivas Sardar (VOBO),All India Trinamool Congress,245546,223259,90.9 %,49641,22.2%
Basanti,128,SC,South  Twenty Four Parganas,Shyamal Mondal,All India Trinamool Congress,241447,212003,87.8 %,50642,23.9%
Basanti,128,SC,South  Twenty Four Parganas,Shyamal Mondal,All India Trinamool Congress,241447,212003,87.8 %,50642,23.9%
Basirhat Dakshin,124,GEN,North Twenty Four Parganas,Dr. Saptarshi Banerjee,All India Trinamool Congress,264853,234048,88.4 %,24468,10.5%
Basirhat Dakshin,124,GEN,North Twenty Four Parganas,Dr. Saptarshi Banerjee,All India Trinamool Congress,264853,234048,88.4 %,24468,10.5%
Basirhat Uttar,125,GEN,North Twenty Four Parganas,Rafikul Islam Mondal,All India Trinamool Congress,255163,236474,92.7 %,89351,37.8%
Basirhat Uttar,125,GEN,North Twenty Four Parganas,Rafikul Islam Mondal,All India Trinamool Congress,255163,236474,92.7 %,89351,37.8%
Behala Paschim,154,GEN,South  Twenty Four Parganas,Partha Chatterjee,All India Trinamool Congress,295723,229383,77.6 %,50884,22.2%
Behala Paschim,154,GEN,South  Twenty Four Parganas,Partha Chatterjee,All India Trinamool Congress,295723,229383,77.6 %,50884,22.2%
Behala Purba,153,GEN,South  Twenty Four Parganas,Ratna Chatterjee,All India Trinamool Congress,288032,219037,76.0 %,37428,17.1%
Behala Purba,153,GEN,South  Twenty Four Parganas,Ratna Chatterjee,All India Trinamool Congress,288032,219037,76.0 %,37428,17.1%
Beldanga,71,GEN,Murshidabad,Hasanuzzaman Sk,All India Trinamool Congress,238107,203143,85.3 %,53832,26.5%
Beldanga,71,GEN,Murshidabad,Hasanuzzaman Sk,All India Trinamool Congress,238107,203143,85.3 %,53832,26.5%
Beleghata,164,GEN,Kolkata,Paresh Paul,All India Trinamool Congress,242619,156942,64.7 %,67140,42.8%
Beleghata,164,GEN,Kolkata,Paresh Paul,All India Trinamool Congress,242619,156942,64.7 %,67140,42.8%
Bhabanipur,159,GEN,Kolkata,Sobhandeb Chattopadhyay,All India Trinamool Congress,200935,125806,62.6 %,28719,22.8%
Bhabanipur,159,GEN,Kolkata,Sobhandeb Chattopadhyay,All India Trinamool Congress,200935,125806,62.6 %,28719,22.8%
Bhagabangola,62,GEN,Murshidabad,Idris Ali,All India Trinamool Congress,248895,222594,89.4 %,106008,47.6%
Bhagabangola,62,GEN,Murshidabad,Idris Ali,All India Trinamool Congress,248895,222594,89.4 %,106008,47.6%
Bhagabanpur,214,GEN,Purba Medinipur,Rabindranath Maity,Bharatiya Janta Party,245647,221631,90.2 %,27549,12.4%
Bhagabanpur,214,GEN,Purba Medinipur,Rabindranath Maity,Bharatiya Janta Party,245647,221631,90.2 %,27549,12.4%
Bhangar,148,GEN,South  Twenty Four Parganas,Md. Nawsad Siddique,Rashtriya Secular Majlis Party,251977,238942,94.8 %,26151,10.9%
Bhangar,148,GEN,South  Twenty Four Parganas,Md. Nawsad Siddique,Rashtriya Secular Majlis Party,251977,238942,94.8 %,26151,10.9%
Bharatpur,69,GEN,Murshidabad,Humayun Kabir,All India Trinamool Congress,234101,186603,79.7 %,43083,23.1%
Bharatpur,69,GEN,Murshidabad,Humayun Kabir,All India Trinamool Congress,234101,186603,79.7 %,43083,23.1%
Bhatar,267,GEN,Barddhaman,Adhikari Mangobinda,All India Trinamool Congress,238186,209822,88.1 %,31741,15.1%
Bhatar,267,GEN,Barddhaman,Adhikari Mangobinda,All India Trinamool Congress,238186,209822,88.1 %,31741,15.1%
Bhatpara,105,GEN,North Twenty Four Parganas,Pawan Kumar Singh,Bharatiya Janta Party,149370,106037,71.0 %,13687,12.9%
Bhatpara,105,GEN,North Twenty Four Parganas,Pawan Kumar Singh,Bharatiya Janta Party,149370,106037,71.0 %,13687,12.9%
Bidhannagar,116,GEN,North Twenty Four Parganas,Sujit Bose S/o - Late Ajit Bose,All India Trinamool Congress,231169,159822,69.1 %,7997,5.0%
Bidhannagar,116,GEN,North Twenty Four Parganas,Sujit Bose S/o - Late Ajit Bose,All India Trinamool Congress,231169,159822,69.1 %,7997,5.0%
Bijpur,103,GEN,North Twenty Four Parganas,Subodh Adhikary,All India Trinamool Congress,185509,137869,74.3 %,13347,9.7%
Bijpur,103,GEN,North Twenty Four Parganas,Subodh Adhikary,All India Trinamool Congress,185509,137869,74.3 %,13347,9.7%
Binpur,237,ST,Paschim Medinipur,Debnath Hansda,All India Trinamool Congress,216605,185493,85.6 %,39494,21.3%
Binpur,237,ST,Paschim Medinipur,Debnath Hansda,All India Trinamool Congress,216605,185493,85.6 %,39494,21.3%
Bishnupur,255,SC,Bankura,Tanmay Ghosh (BUMBA),Bharatiya Janta Party,208397,188050,90.2 %,11420,6.1%
Bishnupur (SC),146,SC,South  Twenty Four Parganas,Dilip Mondal,All India Trinamool Congress,264604,235707,89.1 %,58832,25.0%
Bishnupur,255,SC,Bankura,Tanmay Ghosh (BUMBA),Bharatiya Janta Party,208397,188050,90.2 %,11420,6.1%
Bishnupur (SC),146,SC,South  Twenty Four Parganas,Dilip Mondal,All India Trinamool Congress,264604,235707,89.1 %,58832,25.0%
Bolpur,286,GEN,Birbhum,Sinha Chandranath,All India Trinamool Congress,259217,226923,87.5 %,22280,9.8%
Bolpur,286,GEN,Birbhum,Sinha Chandranath,All India Trinamool Congress,259217,226923,87.5 %,22280,9.8%
Budge Budge,156,GEN,South  Twenty Four Parganas,Ashok Kumar Deb,All India Trinamool Congress,241623,214157,88.6 %,44714,20.9%
Budge Budge,156,GEN,South  Twenty Four Parganas,Ashok Kumar Deb,All India Trinamool Congress,241623,214157,88.6 %,44714,20.9%
Burwan,67,SC,Murshidabad,Jiban Krishna Saha,All India Trinamool Congress,209338,174795,83.5 %,2749,1.6%
Burwan,67,SC,Murshidabad,Jiban Krishna Saha,All India Trinamool Congress,209338,174795,83.5 %,2749,1.6%
Canning Paschim,138,SC,South  Twenty Four Parganas,Paresh Ram Das,All India Trinamool Congress,241023,215322,89.3 %,35243,16.4%
Canning Paschim,138,SC,South  Twenty Four Parganas,Paresh Ram Das,All India Trinamool Congress,241023,215322,89.3 %,35243,16.4%
Canning Purba,139,GEN,South  Twenty Four Parganas,Saokat Molla,All India Trinamool Congress,239477,230499,96.3 %,53007,23.0%
Canning Purba,139,GEN,South  Twenty Four Parganas,Saokat Molla,All India Trinamool Congress,239477,230499,96.3 %,53007,23.0%
Chakdaha,91,GEN,Nadia,Bankim Chandra Ghosh,Bharatiya Janta Party,235068,210577,89.6 %,11680,5.5%
Chakdaha,91,GEN,Nadia,Bankim Chandra Ghosh,Bharatiya Janta Party,235068,210577,89.6 %,11680,5.5%
Chakulia,31,GEN,Uttar Dinajpur,Azad Minhajul Arfin,All India Trinamool Congress,221341,172214,77.8 %,33837,19.6%
Chakulia,31,GEN,Uttar Dinajpur,Azad Minhajul Arfin,All India Trinamool Congress,221341,172214,77.8 %,33837,19.6%
Champdani,187,GEN,Hugli,Arindam Guin (BUBAI),All India Trinamool Congress,248693,197784,79.5 %,30078,15.2%
Champdani,187,GEN,Hugli,Arindam Guin (BUBAI),All India Trinamool Congress,248693,197784,79.5 %,30078,15.2%
Chanchal,45,GEN,Maldah,Nihar Ranjan Ghosh,All India Trinamool Congress,238225,198656,83.4 %,67338,33.9%
Chanchal,45,GEN,Maldah,Nihar Ranjan Ghosh,All India Trinamool Congress,238225,198656,83.4 %,67338,33.9%
Chandannagar,189,GEN,Hugli,Indranil Sen,All India Trinamool Congress,223152,179155,80.3 %,31029,17.3%
Chandannagar,189,GEN,Hugli,Indranil Sen,All India Trinamool Congress,223152,179155,80.3 %,31029,17.3%
Chandipur,211,GEN,Purba Medinipur,Soham Chakraborty,All India Trinamool Congress,237527,219591,92.4 %,13472,6.1%
Chandipur,211,GEN,Purba Medinipur,Soham Chakraborty,All India Trinamool Congress,237527,219591,92.4 %,13472,6.1%
Chanditala,194,GEN,Hugli,Swati Khandoker,All India Trinamool Congress,252700,204950,81.1 %,41347,20.2%
Chanditala,194,GEN,Hugli,Swati Khandoker,All India Trinamool Congress,252700,204950,81.1 %,41347,20.2%
Chandrakona,232,SC,Paschim Medinipur,Arup Dhara,All India Trinamool Congress,268269,246409,91.9 %,11281,4.6%
Chandrakona,232,SC,Paschim Medinipur,Arup Dhara,All India Trinamool Congress,268269,246409,91.9 %,11281,4.6%
Chapra,82,GEN,Nadia,Rukbanur Rahman,All India Trinamool Congress,237343,211152,89.0 %,12118,5.7%
Chapra,82,GEN,Nadia,Rukbanur Rahman,All India Trinamool Congress,237343,211152,89.0 %,12118,5.7%
Chhatna,248,GEN,Bankura,Satyanarayan Mukhopadhyay,Bharatiya Janta Party,232894,193322,83.0 %,7164,3.7%
Chhatna,248,GEN,Bankura,Satyanarayan Mukhopadhyay,Bharatiya Janta Party,232894,193322,83.0 %,7164,3.7%
Chopra,28,GEN,Uttar Dinajpur,Hamidul Rahaman,All India Trinamool Congress,229766,202579,88.2 %,64905,32.0%
Chopra,28,GEN,Uttar Dinajpur,Hamidul Rahaman,All India Trinamool Congress,229766,202579,88.2 %,64905,32.0%
Chowrangee,162,GEN,Kolkata,Bandyopadhyay Nayna,All India Trinamool Congress,202501,110281,54.5 %,45344,41.1%
Chowrangee,162,GEN,Kolkata,Bandyopadhyay Nayna,All India Trinamool Congress,202501,110281,54.5 %,45344,41.1%
Chunchura,190,GEN,Hugli,Asit Mazumder (Tapan),All India Trinamool Congress,304254,250399,82.3 %,18417,7.4%
Chunchura,190,GEN,Hugli,Asit Mazumder (Tapan),All India Trinamool Congress,304254,250399,82.3 %,18417,7.4%
Cooch Behar Dakshin,4,GEN,Koch Bihar,Nikhil Ranjan Dey,Bharatiya Janta Party,223409,194041,86.9 %,4931,2.5%
Cooch Behar Dakshin,4,GEN,Koch Bihar,Nikhil Ranjan Dey,Bharatiya Janta Party,223409,194041,86.9 %,4931,2.5%
Coochbehar Uttar,3,SC,Koch Bihar,Sukumar Roy,Bharatiya Janta Party,272055,242346,89.1 %,14615,6.0%
Coochbehar Uttar,3,SC,Koch Bihar,Sukumar Roy,Bharatiya Janta Party,272055,242346,89.1 %,14615,6.0%
Dabgram-Fulbari,19,GEN,Jalpaiguri,Sikha Chatterjee,Bharatiya Janta Party,283991,255590,90.0 %,27593,10.8%
Dabgram-Fulbari,19,GEN,Jalpaiguri,Sikha Chatterjee,Bharatiya Janta Party,283991,255590,90.0 %,27593,10.8%
Dantan,219,GEN,Paschim Medinipur,Bikram Chandra Pradhan,All India Trinamool Congress,224882,196548,87.4 %,623,0.3%
Dantan,219,GEN,Paschim Medinipur,Bikram Chandra Pradhan,All India Trinamool Congress,224882,196548,87.4 %,623,0.3%
Darjeeling,23,GEN,Darjiling,Neeraj Tamang Zimba,Bharatiya Janta Party,238967,166035,69.5 %,21276,12.8%
Darjeeling,23,GEN,Darjiling,Neeraj Tamang Zimba,Bharatiya Janta Party,238967,166035,69.5 %,21276,12.8%
Daspur,230,GEN,Paschim Medinipur,Mamata Bhunia,All India Trinamool Congress,289252,221096,76.4 %,26842,12.1%
Daspur,230,GEN,Paschim Medinipur,Mamata Bhunia,All India Trinamool Congress,289252,221096,76.4 %,26842,12.1%
Debra,229,GEN,Paschim Medinipur,Humayun Kabir,All India Trinamool Congress,226402,203513,89.9 %,11226,5.5%
Debra,229,GEN,Paschim Medinipur,Humayun Kabir,All India Trinamool Congress,226402,203513,89.9 %,11226,5.5%
Deganga,120,GEN,North Twenty Four Parganas,Rahima Mondal,All India Trinamool Congress,230563,212280,92.1 %,32537,15.3%
Deganga,120,GEN,North Twenty Four Parganas,Rahima Mondal,All India Trinamool Congress,230563,212280,92.1 %,32537,15.3%
Dhanekhali,197,SC,Hugli,Asima Patra,All India Trinamool Congress,262855,231656,88.1 %,30159,13.0%
Dhanekhali,197,SC,Hugli,Asima Patra,All India Trinamool Congress,262855,231656,88.1 %,30159,13.0%
Dhupguri,15,SC,Jalpaiguri,Bishnu Pada Ray,Bharatiya Janta Party,251681,227339,90.3 %,4355,1.9%
Dhupguri,15,SC,Jalpaiguri,Bishnu Pada Ray,Bharatiya Janta Party,251681,227339,90.3 %,4355,1.9%
Diamond Harbour,143,GEN,South  Twenty Four Parganas,Pannalal Halder,All India Trinamool Congress,241838,223948,92.6 %,16996,7.6%
Diamond Harbour,143,GEN,South  Twenty Four Parganas,Pannalal Halder,All India Trinamool Congress,241838,223948,92.6 %,16996,7.6%
Dinhata,7,GEN,Koch Bihar,Nisith Pramanik,Bharatiya Janta Party,288755,242214,83.9 %,57,0.0%
Dinhata,7,GEN,Koch Bihar,Nisith Pramanik,Bharatiya Janta Party,288755,242214,83.9 %,57,0.0%
Domjur,184,GEN,Haora,Kalyan Ghosh,All India Trinamool Congress,276082,248896,90.2 %,42620,17.1%
Domjur,184,GEN,Haora,Kalyan Ghosh,All India Trinamool Congress,276082,248896,90.2 %,42620,17.1%
Domkal,75,GEN,Murshidabad,Jafikul Islam,All India Trinamool Congress,252473,223764,88.6 %,47229,21.1%
Domkal,75,GEN,Murshidabad,Jafikul Islam,All India Trinamool Congress,252473,223764,88.6 %,47229,21.1%
Dubrajpur,284,SC,Birbhum,Anup Kumar Saha,Bharatiya Janta Party,231245,201442,87.1 %,3863,1.9%
Dubrajpur,284,SC,Birbhum,Anup Kumar Saha,Bharatiya Janta Party,231245,201442,87.1 %,3863,1.9%
Dum Dum,114,GEN,North Twenty Four Parganas,Brtya Basu,All India Trinamool Congress,232742,183295,78.8 %,26731,14.6%
Dum Dum,114,GEN,North Twenty Four Parganas,Brtya Basu,All India Trinamool Congress,232742,183295,78.8 %,26731,14.6%
Dum Dum Uttar,110,GEN,North Twenty Four Parganas,Chandrima Bhattacharya,All India Trinamool Congress,256543,211038,82.3 %,28499,13.5%
Dum Dum Uttar,110,GEN,North Twenty Four Parganas,Chandrima Bhattacharya,All India Trinamool Congress,256543,211038,82.3 %,28499,13.5%
